"community","month","min","mean","max"
"Bhinjpur",1,0,0.198084677419355,0.792
"Bhinjpur",2,0,0.214501488095238,0.808
"Bhinjpur",3,0,0.219673387096774,0.788
"Bhinjpur",4,0,0.219468055555556,0.768
"Bhinjpur",5,0,0.215264784946237,0.722
"Bhinjpur",6,0,0.184956944444444,0.686
"Bhinjpur",7,0,0.16376747311828,0.704
"Bhinjpur",8,0,0.145590053763441,0.709
"Bhinjpur",9,0,0.164516666666667,0.73
"Bhinjpur",10,0,0.177286290322581,0.751
"Bhinjpur",11,0,0.196343055555556,0.753
"Bhinjpur",12,0,0.178174731182796,0.772
